# Characters of text keys that the default MySQL/MariaDB collations compare exactly like Access (05, Collation).
# code point, weight under utf8mb4_0900_as_ci (MySQL), weight under utf8mb4_uca1400_as_ci (MariaDB), safe (1/0).
# Weights: HEX(WEIGHT_STRING(<char> COLLATE <collation>)), measured on MySQL 8.0/8.4 and MariaDB 10.11/11.4/11.8;
# the integration matrix re-measures them (CollationWeightsIT, -Dcollation.update=true rewrites them).
# safe: derived by KeyTextSafetyTest from the weights and Access's own index encoding (Jackcess); rewrite with
# -Dcollation.update=true. Never edit by hand.
03A6	1FDD00000020	24310020	1
03A7	1FDE00000020	24320020	1
03A8	1FDF00000020	24330020	1
03A9	1FE100000020	24350020	1
03AA	1FC600000020002B	241A0020002B	1
03AB	1FDC00000020002B	24300020002B	1
03AC	1FB9000000200024	240D00200024	1
03AD	1FBE000000200024	241200200024	1
03AE	1FC4000000200024	241800200024	1
03AF	1FC6000000200024	241A00200024	1
03B0	1FDC00000020002B0024	24300020002B0024	1
03B1	1FB900000020	240D0020	1
03B2	1FBA00000020	240E0020	1
03B3	1FBB00000020	240F0020	1
03B4	1FBD00000020	24110020	1
03B5	1FBE00000020	24120020	1
03B6	1FC200000020	24160020	1
03B7	1FC400000020	24180020	1
03B8	1FC500000020	24190020	1
03B9	1FC600000020	241A0020	1
03BA	1FC800000020	241C0020	1
03BB	1FC900000020	241D0020	1
03BC	1FCB00000020	241F0020	1
03BD	1FCC00000020	24200020	1
03BE	1FCD00000020	24210020	1
03BF	1FCE00000020	24220020	1
03C0	1FCF00000020	24230020	1
03C1	1FD400000020	24280020	1
03C2	1FD700000020	242B0020	1
03C3	1FD700000020	242B0020	1
03C4	1FDB00000020	242F0020	1
03C5	1FDC00000020	24300020	1
03C6	1FDD00000020	24310020	1
03C7	1FDE00000020	24320020	1
03C8	1FDF00000020	24330020	1
03C9	1FE100000020	24350020	1
03CA	1FC600000020002B	241A0020002B	1
03CB	1FDC00000020002B	24300020002B	1
03CC	1FCE000000200024	242200200024	1
03CD	1FDC000000200024	243000200024	1
03CE	1FE1000000200024	243500200024	1
03CF	1FC81FB91FC60000002000200020	241C240D241A002000200020	0
03D0	1FBA00000020	240E0020	0
03D1	1FC500000020	24190020	0
03D2	1FDC00000020	24300020	0
03D3	1FDC000000200024	243000200024	0
03D4	1FDC00000020002B	24300020002B	1
03D5	1FDD00000020	24310020	0
03D6	1FCF00000020	24230020	0
03D7	1FC81FB91FC60000002000200020	241C240D241A002000200020	0
03D8	1FD300000020	24270020	1
03D9	1FD300000020	24270020	1
03DA	1FC100000020	24150020	1
03DB	1FC100000020	24150020	1
03DC	1FBF00000020	24130020	1
03DD	1FBF00000020	24130020	1
03DE	1FD200000020	24260020	1
03DF	1FD200000020	24260020	1
03E0	1FE300000020	24370020	1
03E1	1FE300000020	24370020	1
03E2	200500000020	24590020	1
03E3	200500000020	24590020	1
03E4	200A00000020	245E0020	1
03E5	200A00000020	245E0020	1
03E6	200B00000020	245F0020	1
03E7	200B00000020	245F0020	1
03E8	200E00000020	24620020	1
03E9	200E00000020	24620020	1
03EA	201500000020	24690020	1
03EB	201500000020	24690020	1
03EC	201800000020	246C0020	1
03ED	201800000020	246C0020	1
03EE	201C00000020	24700020	1
03EF	201C00000020	24700020	1
